 ,EDF-VD,FC-MCS-v1,FC-MCS-v2
0.55,0.0283543144221556,0.03987441818310347,0.047441779861584835
0.6,0.05368657573736363,0.07304128056161698,0.08893295674276498
0.65,0.05514844756824372,0.07482614556821972,0.1012674080955666
0.7,0.08747989361914466,0.12447766209533918,0.1614354877627827
0.75,0.11694665154045851,0.15703993958667237,0.1984099556117007
0.8,0.1429175295348008,0.1882384108901842,0.23873541232877468
0.85,0.17784549144838316,0.22602466922985393,0.2800776599415313
0.9,0.17027897703301742,0.21821585751700565,0.2750126639734176
0.95,0.17585831147656505,0.23012699218403823,0.2813222538409424
1.0,0.15856736224287304,0.20542650393773232,0.24106556119537248
